,method,fold,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
74,lift_relevance_centrality,5,0.0,0.0010757129295836069,6.0131684933206336e-06,0.00024540399767145104,0.015202266214475743,0.029152517123155756,0.4175764711162044,0.014395811832385016,0.016082706077396064,0.03936052458150905,0.19618935336241805,0.10772258462931059,0.07064754094766411,0.009659788520482522,0.05560474062220139,0.01258738450026505,0.011480700819655762,0.002253443178272803,0.0005563132658580692,0.00020072311299724923,0.0
75,equal_relevance_centrality,5,0.0,0.001020242902577784,6.223656813817548e-06,0.00025311891958485134,0.01825847535612991,0.028995915916672086,0.3977501533887213,0.014304225984455897,0.01863103826230205,0.04776252829400453,0.20509431248832066,0.10753990520744747,0.06752632594865826,0.009600136785918768,0.05537492178180223,0.012671496431906227,0.011432198982131983,0.0029672801754714855,0.000529168277973542,0.00028233123910715457,0.0
76,relevance_relevance_centrality,5,0.0,0.0009162573515518668,3.749560530505951e-07,6.002094400107838e-05,0.009373448085541627,0.02698107197630557,0.4356017735340123,0.010880213612703988,0.014210041658844264,0.031247173257736374,0.20024229229637627,0.10614339085760138,0.06775261293825988,0.009916503262577654,0.06277493380036793,0.010996138189851509,0.01141733699889836,0.001103797382514031,0.0003217092443642068,6.090965243862805e-05,0.0
77,perm,6,0.0,0.0,0.0,0.0,0.030684104627766603,0.043259557344064385,0.2137826961770623,0.05130784708249497,0.03621730382293763,0.1312877263581489,0.17454728370221323,0.1574446680080483,0.022132796780684104,0.031187122736418514,0.06539235412474849,0.004527162977867203,0.010563380281690142,0.02766599597585513,0.0,0.0,0.0
78,gini,6,0.0,0.0,0.0,0.000923991150199907,0.019398899374466157,0.014563591657522053,0.29885916226070797,0.03923272900268766,0.048554453986471326,0.05780949408120408,0.20849550872019368,0.1157162098771843,0.039444088971419815,0.030710165749161352,0.08736403083294828,0.01495946000586506,0.009646968840273466,0.012445466354078253,0.0,0.0018757791356166325,0.0
79,shap,6,0.0,0.0,0.0,0.0013057515399978285,0.024610521306967524,0.01553553287487847,0.17645169695059745,0.05364913506830258,0.046267093748738566,0.09000467285096941,0.200708682196635,0.10988060351848236,0.05731426596858879,0.050269348949194305,0.10242256102338221,0.02978445886758361,0.01921708122977188,0.021881561579416436,0.0,0.0006970323264935426,0.0
80,support_impurity_centrality,6,0.0,0.0,0.0,0.004805474848974114,0.047687066404746695,0.024117516270724188,0.1408305629409408,0.06115295869233797,0.03889828074288265,0.08818001308647076,0.22623175903291864,0.09372520805909243,0.06791752836853035,0.04774689470477327,0.07364887478650305,0.03242488837080339,0.02497253902825266,0.02291257852568272,0.0,0.00474785613636632,0.0
81,confidence_impurity_centrality,6,0.0,0.0,0.0,0.0262869197376302,0.05619030092834267,0.035496146565648104,0.11960488212943036,0.046970206552074546,0.023536946573848222,0.07175947379088794,0.16810711588558522,0.1303542063877477,0.1120727529234011,0.030100382930922237,0.051081483948885,0.05575443733540869,0.022190889376292,0.04207531863660291,0.0,0.008418536297292967,0.0
82,lift_impurity_centrality,6,0.0,0.0,0.0,0.029828492729922305,0.059284192444178374,0.038256269838469775,0.1173868987540316,0.050136354382952254,0.02596952760221855,0.07363674787940265,0.15509742523185474,0.11978809416445241,0.10437484789099143,0.03273582947994762,0.05432744120098405,0.06008783452850217,0.02459312737352838,0.04504013017650474,0.0,0.009456786322059103,0.0
83,equal_impurity_centrality,6,0.0,0.0,0.0,0.0227052431653752,0.05325467445490082,0.038820524602212005,0.11760236848603144,0.051607277125080925,0.02659905236249137,0.07232142469238903,0.16686295022835126,0.12569030889325639,0.10498710071474182,0.03284640821324266,0.05510162873292166,0.0547996196070119,0.02545873971016093,0.0440046614265404,0.0,0.007338017585292107,0.0
84,relevance_impurity_centrality,6,0.0,0.0,0.0,0.004889750151647823,0.04786253358298292,0.024108054045000826,0.1405520814514219,0.06093076287669648,0.03912887637673132,0.08836570801081145,0.22610530422941713,0.09341729676781348,0.06781621385706771,0.047594952318500756,0.07346921396904751,0.03268011748212376,0.02524486161861608,0.023136059210822943,0.0,0.00469821405129793,0.0
85,support_relevance_centrality,6,0.0,0.0,0.0,4.910927853922923e-10,0.00046699225756987667,0.00025940250245353537,0.2850229423615057,0.06336348105697909,0.0410641045864828,0.03454168578881209,0.37139415935890197,0.0568389517096474,0.026139187188751273,0.03741673332525617,0.08344268407419579,1.3293070329880442e-05,2.639993987859872e-06,3.3592090515768566e-05,0.0,1.5014351798672207e-07,0.0
86,confidence_relevance_centrality,6,0.0,0.0,0.0,3.3009654947616116e-08,0.00150520649998337,0.0008513761256123834,0.332104811235649,0.058848450034632134,0.0549993535166425,0.03238003687979399,0.33516932040049635,0.05313802621432111,0.026794270539325607,0.032844470519755586,0.0709896494013347,0.00011855453631453818,3.447460976149235e-05,0.00021994284756591975,0.0,2.0236291563634227e-06,0.0
87,lift_relevance_centrality,6,0.0,0.0,0.0,3.336439378795618e-08,0.001477924634273239,0.0008543695044664247,0.33321951669956906,0.058173070955254355,0.055276932152149835,0.03243848767964634,0.3351561518742494,0.05233825431160063,0.02704994143779853,0.03319513730224722,0.07044395908680817,0.00011784224471313246,3.4713525307383846e-05,0.00022167838318153766,0.0,1.9868443409585098e-06,0.0
88,equal_relevance_centrality,6,0.0,0.0,0.0,3.0685578894618125e-08,0.0018080149499501627,0.000842296321878419,0.32873434260461365,0.05932719803044634,0.054806127539803164,0.03308678107186852,0.3361739008593185,0.05403507580983654,0.026412384666646034,0.03276249817406024,0.07160615046619796,0.00012635260337123791,3.784947734532659e-05,0.00023907272542568478,0.0,1.9240136593595e-06,0.0
89,relevance_relevance_centrality,6,0.0,0.0,0.0,5.042139443710381e-10,0.0004594844240539859,0.000264373923262685,0.2870016578740197,0.06237588409907388,0.04155148769204707,0.03457733438242976,0.37114071875433224,0.05567897176408253,0.026466423419750525,0.0378637806119547,0.08256932461053315,1.3372807457526906e-05,2.6971856632249914e-06,3.4338349637162615e-05,0.0,1.4959748790575357e-07,0.0
90,perm,7,0.00223463687150838,-0.00111731843575419,0.003910614525139666,0.025698324022346373,0.04413407821229051,0.0340782122905028,0.09888268156424582,0.054189944134078225,0.06256983240223465,0.13407821229050282,0.1983240223463687,0.050837988826815644,0.08268156424581007,0.010055865921787711,0.08882681564245812,0.05027932960893856,0.027932960893854754,0.023463687150837995,0.00111731843575419,0.000558659217877095,0.0072625698324022365
91,gini,7,0.006854509040697528,0.008188300079720007,0.011092416036895451,0.014896250477314929,0.03904452097865853,0.07923096537820497,0.06698429413582575,0.03296340115096683,0.03843752233269298,0.05617789780509416,0.20669714673436276,0.04562302850761608,0.05784561514688781,0.025864983768654783,0.22057310960919302,0.024344469937710233,0.028237237367978278,0.020874720909231512,0.00661436842036483,0.001189052615113132,0.008266189566816696
92,shap,7,0.0021510955203200995,0.006734864831235759,0.00855209816107734,0.018156394295103757,0.04981033854001394,0.07491397119395979,0.08967531208045047,0.046046462138059734,0.04448543662379944,0.08968757951577332,0.16783566888331056,0.053207374286686315,0.07426903686448012,0.03218571780243276,0.12119053757028068,0.038691973757274636,0.04030417216983207,0.027887951138800524,0.0074135270231661995,0.0009505323346195775,0.005849955269322703
93,support_impurity_centrality,7,0.011125680029820622,0.015354751148484159,0.018309627159475355,0.025188123898003026,0.06369190485399698,0.07130024872890331,0.07299376533219346,0.049692789906521186,0.034579993905747064,0.08952092912256478,0.12233297541564127,0.05757936065122293,0.08071021101358919,0.0444409377712918,0.08677164240036173,0.04829717069562115,0.03540000767255842,0.03872258737619016,0.01869526164947518,0.0034837965102492725,0.011808234758088962
94,confidence_impurity_centrality,7,0.024390061555706912,0.025361238799898347,0.033838769508042,0.028902908479614742,0.058455574512555376,0.06400849668249302,0.06074630558681121,0.05531043953008669,0.04611918269445361,0.07593873043657193,0.08547112808855867,0.05670714705244657,0.0695801369081967,0.04700330340315202,0.07680823010855328,0.04746737708744994,0.04252645720303962,0.04058076249912832,0.026994794989785464,0.013135464846389253,0.02065349002706612
95,lift_impurity_centrality,7,0.03063924357314097,0.030525516456687697,0.04132055638026411,0.035247585522027114,0.0557103368195386,0.05780148170176452,0.05634785077002829,0.05725177413264523,0.047796339293798056,0.06655178518012804,0.07093317966907446,0.055987586538626184,0.06465121395240903,0.04777046145728661,0.06762179083272024,0.05157953610197886,0.04320642934283831,0.041709329851517686,0.03315175301527111,0.018076212587209196,0.026120036821045606
96,equal_impurity_centrality,7,0.024337630303627067,0.025455478526076408,0.03376089680581723,0.029009429152289424,0.05827745914856615,0.06411448016840104,0.060676654766134465,0.05528870435605566,0.04601569777815916,0.07593188660618,0.08519999340435534,0.05688173021954478,0.0695782488748467,0.04708022276768399,0.07660719325108697,0.04744058258669028,0.04280267772645554,0.04070769436082608,0.027126178672363072,0.013048152576055651,0.020659007948784825
97,relevance_impurity_centrality,7,0.01118743931115034,0.015311038806846486,0.0183238815317053,0.025272745021199715,0.06346342683816805,0.07100967974913727,0.07253909147891403,0.04975291550040797,0.03481407851499671,0.08992876149053575,0.12233778432399343,0.05744756890249707,0.08036259200237711,0.04421340832000072,0.08708598396049166,0.04860158768825585,0.035491367136072,0.038863762071567415,0.018669454028523786,0.003501147630389696,0.011822285692769642
98,support_relevance_centrality,7,2.6105196676967766e-06,1.849554563228524e-05,2.7392224502110883e-05,0.001893392257976099,0.0380218155860581,0.03702738401811762,0.10914460634018591,0.00492484373601493,0.10776936576886761,0.03396187243083781,0.15322566964367193,0.03366229397000774,0.04988043029761756,0.0012974632929453824,0.4117549100312117,0.0015579580536164755,0.000698172852589257,0.014988306301816889,1.1420964700700815e-06,1.0726689002180382e-09,0.00014187395952394678
99,confidence_relevance_centrality,7,2.2340398941679584e-05,8.522439713869354e-05,0.00011057255290414122,0.0019401514865357043,0.036654159714390955,0.03622052453114523,0.09469749665289098,0.007187243069918896,0.13168772470581624,0.03697151625642021,0.16509285371504612,0.032110928159271586,0.0426227475120809,0.0029145897878444333,0.38559436818593523,0.00500461937155829,0.0026997649808322382,0.018006602563401843,2.0585942634452523e-05,8.651535330699324e-08,0.00035589949993885026
100,lift_relevance_centrality,7,2.1937030496646407e-05,8.479128741676137e-05,0.00011095547528640534,0.0019414386615817605,0.03680920105417847,0.03629865932583002,0.09475753751637735,0.0070524109056731826,0.13174121502609687,0.03675064083406313,0.16516766334611696,0.032032970670107214,0.04282030514799794,0.0029229137272914784,0.38553922521377904,0.004988475914155866,0.0026746107060112976,0.017907153620580017,2.0299903245404005e-05,8.547632037482435e-08,0.000357509157393801
101,equal_relevance_centrality,7,2.394224035519693e-05,0.00010251639295263398,0.00011297945722177263,0.0019556490249626746,0.03659653256015105,0.03611024680145192,0.09407689900637842,0.007151116604261873,0.1312533518201785,0.038163438823014366,0.16642395283875103,0.03212327610155065,0.042486337617125204,0.0029080726919458073,0.3828574250516342,0.005633898272664913,0.0027744288863578385,0.018701690575464835,2.0602971126809384e-05,8.587164667373285e-08,0.0005235563908036258
102,relevance_relevance_centrality,7,2.551618486636447e-06,1.831255747729564e-05,2.753142641204254e-05,0.0018936376087894352,0.03821098436262217,0.03711909412971806,0.10915310183986304,0.004814309625315631,0.10775100487353276,0.0337700999117264,0.15340241162006535,0.0336264992483793,0.050114175643555685,0.0013031304284811486,0.4115331889799061,0.0015456354589365822,0.0006908532648811635,0.014881890816938635,1.1206575718424122e-06,1.0561583806112838e-09,0.00014046487118232965
103,perm,8,-0.009733606557377051,0.002561475409836066,0.009733606557377051,0.023565573770491805,0.038422131147540985,0.053278688524590175,0.12704918032786888,0.05737704918032788,0.09016393442622951,0.09170081967213116,0.20491803278688528,0.057889344262295084,0.03125000000000001,0.03688524590163935,0.052766393442622954,0.052766393442622954,0.06352459016393444,0.03073770491803279,0.0056352459016393444,-0.004098360655737705,-0.01639344262295082
104,gini,8,0.015075506309592816,0.00902423472007255,0.02095475326903878,0.014113809519577964,0.027271201244297057,0.057548257791396294,0.21144167913071543,0.025460922275576347,0.028817425114045538,0.04367079217845248,0.20303518650239233,0.05337547528737329,0.04029002175235245,0.029192362732793617,0.08715707432586053,0.040769653155552366,0.026128150107412956,0.026058284398237132,0.017683932725729924,0.01248380857177152,0.010447468887758762
105,support_impurity_centrality,8,0.02142455045121359,0.013790541845600216,0.03127730626854755,0.02280542869594968,0.04680752394450987,0.05758511405496603,0.08735783144407483,0.04792757348712935,0.0454721934764382,0.07919836363249091,0.10822793950905492,0.06624645356868258,0.052185356269646335,0.04842324230777403,0.0694233823624183,0.05271353124254955,0.04627235847928791,0.04452812290738797,0.028949518422868206,0.015575812070817327,0.013807855558592637
106,confidence_impurity_centrality,8,0.034468687482597384,0.025107803742948208,0.04294398239054719,0.03312975918622033,0.04992704328733361,0.053309581280417996,0.0703424678234131,0.04723662782734472,0.054186296542637555,0.06155318288642863,0.06964671151467863,0.05857467310376226,0.04844623399692242,0.048665668548409154,0.0630145198838299,0.05409096728343523,0.051548082903014616,0.049888292154141346,0.03584763425548849,0.025558532471019905,0.022513251435409522
107,lift_impurity_centrality,8,0.04087853728205148,0.03302287751342008,0.04566362808993714,0.04039126657237814,0.049385963164832784,0.05109634769422163,0.05724423238483489,0.04852622422986158,0.05338724017444297,0.05490083269626239,0.05679768859319517,0.05418552221560874,0.04838319069190539,0.050299421230953496,0.05580663541604442,0.05364269912340107,0.051483218159725064,0.05025397285724718,0.041799895707437966,0.031885522555310096,0.03096508364692835
108,equal_impurity_centrality,8,0.034664018403804044,0.02508128738916224,0.04308696260794912,0.03305477626483049,0.04985521358773232,0.053531868228918617,0.07013277143964626,0.04721999508904379,0.05409843067719756,0.06149237442582818,0.06951516712676026,0.05859847429939259,0.048629042319026816,0.048632280123658694,0.06289571436879268,0.0540319774776115,0.05149513782841621,0.049949710214560725,0.03591151658498028,0.02561281125370043,0.02251047028898716
109,relevance_impurity_centrality,8,0.021429251977928658,0.013887292197965652,0.031253177823444216,0.02273152932901764,0.04662231583982903,0.057545687945095944,0.08687540107955026,0.04805866778280432,0.04583329930241116,0.07945033436883744,0.10802076507888851,0.06615126965478696,0.05201183825404004,0.04823104014342435,0.06965893813448823,0.05283406422926981,0.04635933279317236,0.04453220569287125,0.028964028813461915,0.015705885188521233,0.013843674370191133
110,support_relevance_centrality,8,7.682656470574477e-05,2.793952224687805e-05,0.0001255093868994128,0.0007591005268900419,0.002619548359498795,0.04226486819770619,0.36852341261467314,0.005474762391881842,0.005339600732549916,0.01931168525062926,0.29898814559374953,0.07932222569538759,0.041971363894241574,0.007483416006364584,0.06488892440669701,0.05974132027304455,0.0017721901123050965,0.0004123272064949663,0.0008923123571143536,3.662330151597103e-06,8.585767679391686e-07
