,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
10,equal_relevance_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09467222192840115,0.10718770901655462,0.0,0.0,0.7748930952512139,0.0232469738038303
11,relevance_relevance_centrality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10957357963547143,0.11069932016526962,0.0,0.0,0.7691234144726992,0.01060368572655976
12,perm,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4857142857142857,0.2285714285714286,0.0,0.2285714285714286,0.05714285714285715,0.0
13,gini,1,0.0,0.0,0.0,0.0,0.0834100601351138,0.0,0.0,0.0,0.0,0.0,0.15555370131316668,0.0,0.0,0.1545513255637974,0.16888981480066087,0.0,0.2777326166456123,0.15986248154164903,0.0
14,shap,1,0.0,0.0,0.0,0.0,0.17772671673711826,0.0,0.0,0.0,0.0,0.0,0.1092467428878112,0.0,0.0,0.1014742466968023,0.1609795039678931,0.0,0.22077988083164146,0.2297929088787338,0.0
15,support_impurity_centrality,1,0.0,0.0,0.0,0.0,0.32323661369563966,0.0,0.0,0.0,0.0,0.0,0.1649074378121773,0.0,0.0,0.10007367756413688,0.1522476988963431,0.0,0.20077579779938895,0.058758774232314105,0.0
16,confidence_impurity_centrality,1,0.0,0.0,0.0,0.0,0.5007133493094732,0.0,0.0,0.0,0.0,0.0,0.14796336905847002,0.0,0.0,0.058666228773187314,0.10461944452469546,0.0,0.09085403863482049,0.09718356969935339,0.0
17,lift_impurity_centrality,1,0.0,0.0,0.0,0.0,0.45266461222013954,0.0,0.0,0.0,0.0,0.0,0.19965320039710957,0.0,0.0,0.06607918871248157,0.08954869133849677,0.0,0.05548846316052751,0.13656584417124495,0.0
18,equal_impurity_centrality,1,0.0,0.0,0.0,0.0,0.46841294344875584,0.0,0.0,0.0,0.0,0.0,0.16649151594441164,0.0,0.0,0.07338769047797446,0.11324505226380503,0.0,0.08754842140492819,0.09091437646012485,0.0
19,relevance_impurity_centrality,1,0.0,0.0,0.0,0.0,0.33297853302998226,0.0,0.0,0.0,0.0,0.0,0.2225180204436445,0.0,0.0,0.1068714912718467,0.14019536659693627,0.0,0.11390992512291465,0.08352666353467562,0.0
