,method,fold,age,sex,on_thyroxine,query_on_thyroxine,on_antithyroid_medication,thyroid_surgery,query_hypothyroid,query_hyperthyroid,pregnant,sick,tumor,lithium,goitre,TSH_measured,TSH,T3_measured,T3,TT4_measured,TT4,T4U_measured,T4U,FTI_measured,FTI,TBG_measured,TBG
57,lift_impurity_centrality,4,0.1235025195484339,0.0,0.0,0.0,0.005593911377509,0.00034667410139668515,0.0,0.0,0.0,0.0938181448758621,0.0,0.0,0.0,0.03148809281995096,0.5344085353564051,0.0,0.04359951176399733,0.0,0.03358125277518045,0.0,0.04180249519751579,0.0,0.09185886218374865,0.0,0.0
58,equal_impurity_centrality,4,0.16679327200041424,0.0,0.0,0.0,0.005016670710001541,0.000905927313465667,0.0,0.0,0.0,0.08795222574974071,0.0,0.0,0.0,0.037483625424558444,0.2482538969676673,0.0,0.116005233374996,0.0,0.11393184627607301,0.0,0.10533392202764266,0.0,0.11832338015544036,0.0,0.0
59,relevance_impurity_centrality,4,0.06895699579620918,0.0,0.0,0.0,0.033402584797289914,0.0001771542797841585,0.0,0.0,0.0,0.02211434867852195,0.0,0.0,0.0,0.17148133831697868,0.3514446631689474,0.0,0.04813157617566611,0.0,0.03854008196324451,0.0,0.126580819726381,0.0,0.1391704370969771,0.0,0.0
60,support_relevance_centrality,4,1.0386586753126516e-07,0.0,0.0,0.0,1.1236833829272517e-05,6.000743366095683e-08,0.0,0.0,0.0,4.6408217805575106e-10,0.0,0.0,0.0,7.044047002539082e-05,0.9643936548907256,0.0,0.019015060588141855,0.0,1.509880268403919e-07,0.0,8.151023538178834e-05,0.0,0.0164277816564859,0.0,0.0
61,confidence_relevance_centrality,4,7.451184061850639e-06,0.0,0.0,0.0,0.00023518887450074382,1.9447648071919588e-06,0.0,0.0,0.0,1.803196050334098e-07,0.0,0.0,0.0,0.0014794252428032048,0.891124170498232,0.0,0.019974327861179884,0.0,5.936755604232797e-06,0.0,0.0010016939776392403,0.0,0.08616968052156661,0.0,0.0
62,lift_relevance_centrality,4,6.379326861014357e-05,0.0,0.0,0.0,0.002814466980471291,1.7319117874463529e-06,0.0,0.0,0.0,2.8769748197478927e-07,0.0,0.0,0.0,0.01759633202853957,0.6028873420091361,0.0,0.01830860636951014,0.0,2.7750360125022448e-05,0.0,0.008586704167497608,0.0,0.3497129852068407,0.0,0.0
63,equal_relevance_centrality,4,7.436533158824268e-06,0.0,0.0,0.0,0.0002735175031983872,1.98199137812535e-06,0.0,0.0,0.0,1.8473452352659335e-07,0.0,0.0,0.0,0.0017166486739073198,0.8869249616329359,0.0,0.019908223276272285,0.0,6.032686068746856e-06,0.0,0.0011040532299127302,0.0,0.09005695973864417,0.0,0.0
64,relevance_relevance_centrality,4,8.621738468216828e-07,0.0,0.0,0.0,0.0002161917168104913,5.930756732654398e-08,0.0,0.0,0.0,1.322075659953136e-09,0.0,0.0,0.0,0.0013514024642788994,0.9400164106028378,0.0,0.01872898707939929,0.0,4.027185079358273e-07,0.0,0.0006525025103678427,0.0,0.039033180104307924,0.0,0.0
65,perm,5,-0.006557377049180362,0.0,0.0,0.0,0.016393442622950904,0.0049180327868852715,0.0049180327868852715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19180327868852462,0.0,0.11967213114754102,0.0,0.12295081967213116,0.0,0.06721311475409825,0.0,0.478688524590164,0.0,0.0
66,gini,5,0.029540548631364953,0.0,0.0,0.0,0.006190388088622358,0.00666533066301059,0.019308414058462776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3309220782463505,0.0,0.14331702024877302,0.0,0.06511695329893501,0.0,0.11749854605478162,0.0,0.2814407207096992,0.0,0.0
